course_id,lift,p_value,avg_score,score_impact,insights
M0459,0.125,0.0,28.4,-0.4919,Exam Mismatch
M0460,0.0467,0.0767,32.8,-0.4945,Inconclusive Results (No Significant Change)
M0461,0.1678,0.0,45.5,0.0936,General Improvement
M0462,0.1377,0.0,39.0,-0.2196,Exam Mismatch
M0463,0.1196,0.0,34.1,0.0835,General Improvement
M0464,0.1035,0.0,29.4,-0.1594,Exam Mismatch
M0465,0.1166,0.0,40.2,0.3444,Ideal Success
M0466,0.0722,0.001,38.6,-0.5066,Exam Mismatch
M0467,0.031,0.223,39.4,-0.3031,Inconclusive Results (No Significant Change)
M0468,0.1445,0.0,33.1,-0.3504,Exam Mismatch
M0469,0.151,0.0,36.4,0.1154,Ideal Success
M0470,0.1093,0.0,32.2,0.0178,General Improvement
M0471,0.1555,0.0,43.4,0.2155,Ideal Success
M0472,0.1228,0.0,37.9,-0.1753,Exam Mismatch
M0473,0.0879,0.0,35.7,0.1692,Ideal Success
M0474,0.0914,0.0,19.8,-0.1238,Exam Mismatch
M0475,0.1282,0.0,41.0,0.0533,General Improvement
M0476,0.1651,0.0,43.0,0.2713,Ideal Success
M0477,0.1597,0.0,28.6,-0.242,Exam Mismatch
M0478,0.1812,0.0,37.1,0.308,Ideal Success
M0479,0.0878,0.0002,44.1,0.2269,Ideal Success
M0480,0.0518,0.0801,39.1,0.3004,Inconclusive Results (No Significant Change)
M0481,0.1243,0.0,34.4,-0.1041,Exam Mismatch
M0482,0.1154,0.0,38.6,-0.0231,General Improvement
M0483,0.1042,0.0,32.2,-0.3971,Exam Mismatch
M0484,0.1361,0.0,28.8,-0.0973,General Improvement
M0485,0.1667,0.0,40.1,-0.3069,Exam Mismatch
M0486,0.0886,0.0,44.3,0.4199,Ideal Success
M0487,0.1279,0.0,29.9,-0.1862,Exam Mismatch
M0488,0.1463,0.0,30.9,0.2586,Ideal Success
M0489,0.1749,0.0,33.0,0.0631,General Improvement
M0490,0.0657,0.0072,39.0,-0.0514,General Improvement
M0491,0.1029,0.0,31.1,0.0543,General Improvement
M0492,0.1697,0.0,36.3,-0.1098,Exam Mismatch
M0493,0.0996,0.0,39.6,-0.0049,General Improvement
M0494,0.0911,0.0,32.5,-0.0787,General Improvement
M0495,0.067,0.0012,35.0,0.0349,General Improvement
M0496,0.1281,0.0,35.7,0.2952,Ideal Success
M0497,0.0675,0.0001,34.8,-0.113,Exam Mismatch
M0498,0.1553,0.0,38.8,-0.1718,Exam Mismatch
M0499,0.122,0.0,32.6,-0.211,Exam Mismatch
M0500,0.1178,0.0,33.9,0.0483,General Improvement
M0501,0.1336,0.0,31.8,0.2564,Ideal Success
M0502,0.1567,0.0,27.2,0.2953,Ideal Success
M0503,0.1645,0.0,28.0,-0.0596,General Improvement
M0504,0.1094,0.0,34.8,-0.3316,Exam Mismatch
M0505,0.1858,0.0,29.9,-0.2284,Exam Mismatch
M0506,0.159,0.0,43.2,0.0754,General Improvement
M0507,0.1243,0.0,43.3,0.0302,General Improvement
M0508,0.1228,0.0,50.1,0.2014,Ideal Success
M0509,0.1215,0.0,35.5,-0.3096,Exam Mismatch
M0510,0.1429,0.0,40.4,-0.3943,Exam Mismatch
M0511,0.0835,0.0007,36.5,0.0608,General Improvement
M0512,0.1689,0.0,33.8,-0.0131,General Improvement
M0513,0.1134,0.0,26.2,0.2819,Ideal Success
M0514,0.147,0.0,40.9,-0.2787,Exam Mismatch
M0515,0.0777,0.0031,28.3,0.0564,General Improvement
M0516,0.1366,0.0,27.3,-0.0359,General Improvement
M0517,0.1068,0.0,40.3,0.0571,General Improvement
M0518,0.1151,0.0,38.8,0.2429,Ideal Success
M0519,0.1189,0.0,39.2,0.3411,Ideal Success
M0520,0.2039,0.0,36.0,0.0722,General Improvement
M0521,0.1046,0.0,30.5,-0.178,Exam Mismatch
M0522,0.1543,0.0,31.9,0.1071,Ideal Success
M0523,0.1383,0.0,34.5,0.0141,General Improvement
M0524,0.1288,0.0,34.0,-0.2664,Exam Mismatch
M0525,0.1827,0.0,29.9,0.17,Ideal Success
M0526,0.036,0.3233,35.2,0.7676,Inconclusive Results (No Significant Change)
M0527,0.0645,0.0017,39.7,-0.442,Exam Mismatch
M0528,0.0945,0.0,30.5,-0.4457,Exam Mismatch
M0529,0.149,0.0,32.2,0.0569,General Improvement
M0530,0.1564,0.0,33.3,0.1496,Ideal Success
M0531,0.1941,0.0,29.7,-0.154,Exam Mismatch
M0532,0.0881,0.0001,39.7,-0.3235,Exam Mismatch
M0533,0.0932,0.0004,43.6,-0.7443,Exam Mismatch
M0534,0.1136,0.0,22.3,-0.5021,Exam Mismatch
M0535,0.1395,0.0,36.0,0.3917,Ideal Success
M0536,0.208,0.0,30.1,0.5197,Ideal Success
M0537,0.1034,0.0,43.8,-0.3413,Exam Mismatch
M0538,0.1286,0.0,36.8,-0.3366,Exam Mismatch
M0539,0.118,0.0,49.3,0.2453,Ideal Success
M0540,0.1511,0.0,34.2,-0.5313,Exam Mismatch
M0541,0.1549,0.0,37.3,-0.4931,Exam Mismatch
M0542,0.1205,0.0,45.2,0.2265,Ideal Success
M0543,0.0853,0.0002,34.2,-0.3048,Exam Mismatch
M0544,0.0723,0.0011,28.1,0.1895,Ideal Success
M0545,0.1174,0.0001,36.0,0.5869,Ideal Success
M0546,0.1429,0.0,36.1,-0.4078,Exam Mismatch
M0547,0.0935,0.0003,33.5,0.2404,Ideal Success
M0548,0.1212,0.0,33.4,0.4887,Ideal Success
M0549,0.0755,0.0002,38.4,0.1156,Ideal Success
M0550,0.1086,0.0,37.3,0.0205,General Improvement
M0551,0.1325,0.0,23.1,0.115,Ideal Success
M0552,0.1339,0.0,26.0,-0.5698,Exam Mismatch
M0553,0.1066,0.0,37.5,0.1132,Ideal Success
M0554,0.1285,0.0,43.0,-0.2372,Exam Mismatch
M0555,0.0619,0.0013,32.6,0.2511,Ideal Success
M0556,0.1757,0.0,40.2,0.0218,General Improvement
M0557,0.1576,0.0,35.8,0.4114,Ideal Success
M0558,0.1621,0.0,38.8,0.1377,Ideal Success
M0559,0.0924,0.0,26.6,-0.1902,Exam Mismatch
M0560,0.1322,0.0,31.5,0.5045,Ideal Success
M0561,0.1134,0.0001,34.6,-0.3447,Exam Mismatch
M0562,0.1087,0.0,42.3,0.0454,General Improvement
M0563,0.131,0.0,43.2,0.0033,General Improvement
M0564,0.1026,0.0,34.2,-0.3941,Exam Mismatch
M0565,0.1512,0.0,37.6,0.2123,Ideal Success
M0566,0.0994,0.0,48.1,-0.1715,Exam Mismatch
M0567,0.1219,0.0,27.2,-0.1623,Exam Mismatch
M0568,0.1072,0.0,30.5,0.2601,Ideal Success
M0569,0.0859,0.0,31.2,-0.0347,General Improvement
M0570,0.1396,0.0,28.4,0.0882,General Improvement
M0571,0.1456,0.0,34.8,0.3957,Ideal Success
M0572,0.145,0.0,32.0,-0.0202,General Improvement
M0573,0.1378,0.0,36.0,0.1168,Ideal Success
M0574,0.1342,0.0,41.7,-0.1668,Exam Mismatch
M0575,0.1211,0.0,35.8,-0.3978,Exam Mismatch
M0576,0.1463,0.0,30.1,0.1973,Ideal Success
M0577,0.168,0.0,33.0,0.3465,Ideal Success
M0578,0.1212,0.0,36.4,-0.2547,Exam Mismatch
M0579,0.1279,0.0,31.3,0.2777,Ideal Success
M0580,0.1494,0.0,40.2,-0.0594,General Improvement
M0581,0.0878,0.0,36.3,0.4128,Ideal Success
M0582,0.1991,0.0002,36.9,0.3712,Ideal Success
M0583,0.0912,0.0,32.6,0.264,Ideal Success
M0584,0.0627,0.0021,40.9,0.7876,Ideal Success
M0585,0.1429,0.0,32.8,-0.1608,Exam Mismatch
M0586,0.1617,0.0,30.7,0.1207,Ideal Success
M0587,0.084,0.0002,24.8,-0.1472,Exam Mismatch
M0588,0.1338,0.0,32.8,-0.4231,Exam Mismatch
M0589,0.1256,0.0,40.8,0.0441,General Improvement
M0590,0.0853,0.0027,39.2,0.2607,Ideal Success
M0591,0.0741,0.0005,38.7,-0.0375,General Improvement
M0592,0.1701,0.0,29.1,0.0856,General Improvement
M0593,0.1187,0.0,36.4,0.0007,General Improvement
M0594,0.1045,0.0,28.4,-0.3628,Exam Mismatch
M0595,0.0878,0.0002,31.9,0.7271,Ideal Success
M0596,0.0916,0.0,34.9,0.1091,Ideal Success
M0597,0.0263,0.2801,45.9,-0.4082,Inconclusive Results (No Significant Change)
M0598,0.1716,0.0,29.5,0.3583,Ideal Success
M0599,0.0789,0.0004,41.3,0.4042,Ideal Success
M0600,0.1147,0.0,41.0,0.4101,Ideal Success
